entityID,refPeriod,framework_version,template_id,reported,source_file
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,03.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,72.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,02.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,24.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,73.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,10.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,63.02,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,71.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,08.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,04.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,70.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,26.00,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
rs:0W2PZJM8XOY22M4GG883.CON,2025-06-30,4.1,66.02,True,0W2PZJM8XOY22M4GG883.CON_DE_PILLAR3020000_CODIS_2025-06-30_20260211154609543.zip
