template_id,cell_row,cell_col,row_label,col_label,data_type,n_values,median_log10,mad_log10,spread_p10_p90,status
02.00,0010,0010,EU1. EU - Original Exposure Method (for derivatives),a. Replacement cost (RC),monetary,32,6.241,0.790,3.48,auswertbar
02.00,0010,0020,EU1. EU - Original Exposure Method (for derivatives),b. Potential future exposure  (PFE),monetary,37,6.672,0.563,3.30,auswertbar
02.00,0010,0040,EU1. EU - Original Exposure Method (for derivatives),d. Alpha used for computing regulatory exposure value,monetary,180,0.146,0.000,1.05,auswertbar
02.00,0010,0050,EU1. EU - Original Exposure Method (for derivatives),e. Exposure value pre-CRM,monetary,37,7.178,0.564,3.27,auswertbar
02.00,0010,0060,EU1. EU - Original Exposure Method (for derivatives),f. Exposure value post-CRM,monetary,37,7.122,0.581,3.27,auswertbar
02.00,0010,0070,EU1. EU - Original Exposure Method (for derivatives),g. Exposure value,monetary,38,7.150,0.544,3.27,auswertbar
02.00,0010,0080,EU1. EU - Original Exposure Method (for derivatives),h. RWEA,monetary,38,6.632,0.660,3.42,auswertbar
02.00,0020,0020,EU2. EU - Simplified SA-CCR (for derivatives),b. Potential future exposure  (PFE),monetary,21,7.220,0.351,6.09,unbrauchbar
02.00,0020,0040,EU2. EU - Simplified SA-CCR (for derivatives),d. Alpha used for computing regulatory exposure value,monetary,177,0.146,0.000,1.03,auswertbar
02.00,0020,0060,EU2. EU - Simplified SA-CCR (for derivatives),f. Exposure value post-CRM,monetary,21,7.300,0.487,6.20,unbrauchbar
02.00,0020,0070,EU2. EU - Simplified SA-CCR (for derivatives),g. Exposure value,monetary,21,7.300,0.487,6.20,unbrauchbar
02.00,0020,0080,EU2. EU - Simplified SA-CCR (for derivatives),h. RWEA,monetary,21,6.831,0.471,6.02,unbrauchbar
02.00,0030,0010,1. SA-CCR (for derivatives),a. Replacement cost (RC),monetary,170,7.840,0.763,3.61,auswertbar
02.00,0030,0020,1. SA-CCR (for derivatives),b. Potential future exposure  (PFE),monetary,172,8.197,0.726,2.81,auswertbar
02.00,0030,0040,1. SA-CCR (for derivatives),d. Alpha used for computing regulatory exposure value,monetary,196,0.146,0.000,1.07,auswertbar
02.00,0030,0050,1. SA-CCR (for derivatives),e. Exposure value pre-CRM,monetary,172,8.776,0.739,3.03,auswertbar
02.00,0030,0060,1. SA-CCR (for derivatives),f. Exposure value post-CRM,monetary,173,8.463,0.780,2.91,auswertbar
02.00,0030,0070,1. SA-CCR (for derivatives),g. Exposure value,monetary,174,8.455,0.779,2.91,auswertbar
02.00,0030,0080,1. SA-CCR (for derivatives),h. RWEA,monetary,173,7.982,0.779,3.15,auswertbar
02.00,0040,0040,2. IMM (for derivatives and SFTs),d. Alpha used for computing regulatory exposure value,monetary,45,0.146,0.000,1.02,auswertbar
02.00,0090,0050,4. Financial collateral comprehensive method (for SFTs),e. Exposure value pre-CRM,monetary,127,9.373,0.781,3.52,auswertbar
02.00,0090,0060,4. Financial collateral comprehensive method (for SFTs),f. Exposure value post-CRM,monetary,121,8.415,0.824,3.22,auswertbar
02.00,0090,0070,4. Financial collateral comprehensive method (for SFTs),g. Exposure value,monetary,122,8.412,0.835,3.21,auswertbar
02.00,0090,0080,4. Financial collateral comprehensive method (for SFTs),h. RWEA,monetary,116,7.726,0.847,3.20,auswertbar
02.00,0110,0050,6. Total,e. Exposure value pre-CRM,monetary,209,8.929,1.111,4.45,auswertbar
02.00,0110,0060,6. Total,f. Exposure value post-CRM,monetary,210,8.472,0.965,4.25,auswertbar
02.00,0110,0070,6. Total,g. Exposure value,monetary,214,8.433,0.971,4.22,auswertbar
02.00,0110,0080,6. Total,h. RWEA,monetary,214,7.881,1.003,4.02,auswertbar
03.00,0010,0010,1. Central governments or central banks,a. 0%,monetary,68,8.299,0.994,3.62,auswertbar
03.00,0010,0050,1. Central governments or central banks,e. 20%,monetary,22,7.974,0.716,2.54,auswertbar
03.00,0010,0120,1. Central governments or central banks,l. Total exposure value,monetary,79,8.247,0.852,4.07,auswertbar
03.00,0020,0010,2. Regional government or local authorities,a. 0%,monetary,46,8.023,0.285,2.86,auswertbar
03.00,0020,0050,2. Regional government or local authorities,e. 20%,monetary,43,6.482,0.722,3.05,auswertbar
03.00,0020,0120,2. Regional government or local authorities,l. Total exposure value,monetary,66,7.754,0.597,3.66,auswertbar
03.00,0030,0010,3. Public sector entities,a. 0%,monetary,44,7.613,0.677,2.75,auswertbar
03.00,0030,0050,3. Public sector entities,e. 20%,monetary,36,6.558,0.845,4.52,auswertbar
03.00,0030,0060,3. Public sector entities,f. 50%,monetary,23,6.962,0.908,4.58,auswertbar
03.00,0030,0120,3. Public sector entities,l. Total exposure value,monetary,64,7.296,1.079,5.05,auswertbar
03.00,0040,0010,4. Multilateral development banks,a. 0%,monetary,34,8.086,0.977,2.64,auswertbar
03.00,0040,0120,4. Multilateral development banks,l. Total exposure value,monetary,34,8.010,0.861,2.64,auswertbar
03.00,0050,0010,5. International organisations,a. 0%,monetary,22,7.575,0.501,1.64,auswertbar
03.00,0050,0120,5. International organisations,l. Total exposure value,monetary,22,7.575,0.501,1.64,auswertbar
03.00,0060,0010,6. Institutions,a. 0%,monetary,33,8.019,0.986,6.62,unbrauchbar
03.00,0060,0020,6. Institutions,b. 2%,monetary,119,8.077,0.851,3.54,auswertbar
03.00,0060,0030,6. Institutions,c. 4%,monetary,25,7.799,0.820,2.90,auswertbar
03.00,0060,0050,6. Institutions,e. 20%,monetary,176,7.176,0.768,3.85,auswertbar
03.00,0060,0060,6. Institutions,f. 50%,monetary,101,6.702,0.982,4.58,auswertbar
03.00,0060,0080,6. Institutions,h. 75%,monetary,36,5.949,0.775,2.77,auswertbar
03.00,0060,0090,6. Institutions,i. 100%,monetary,36,6.883,0.811,4.75,auswertbar
03.00,0060,0100,6. Institutions,j. 150%,monetary,72,6.473,0.842,3.47,auswertbar
03.00,0060,0110,6. Institutions,k. Others,monetary,110,7.773,0.844,3.24,auswertbar
03.00,0060,0120,6. Institutions,l. Total exposure value,monetary,198,8.243,0.903,3.53,auswertbar
03.00,0070,0050,7. Corporates,e. 20%,monetary,47,7.069,0.839,2.61,auswertbar
03.00,0070,0060,7. Corporates,f. 50%,monetary,83,7.222,1.048,3.47,auswertbar
