template_id,cell_row,cell_col,row_label,col_label,dp_41,dp_42,status
00.02,0010,0010,EU KM1  Key metrics template,Accompanying narrative,dp3530983,dp3530983,stable
00.02,0020,0010,EU OV1 - Overview of total risk exposure amounts,Accompanying narrative,dp3530984,dp3530984,stable
00.02,0030,0010,EU INS1 - Insurance participations,Accompanying narrative,dp3530985,dp3530985,stable
00.02,0040,0010,EU INS2 - Financial conglomerates information on own funds and capital adequacy ratio,Accompanying narrative,dp3530986,dp3530986,stable
00.02,0050,0010,EU CMS1 – Comparison of modelled and standardised risk weighted exposure amounts at risk level,Accompanying narrative,dp3530987,dp3530987,stable
00.02,0060,0010,"EU CMS2 – Comparison of modelled and standardised risk weighted exposure amounts
for credit risk at asset class level",Accompanying narrative,dp3530988,dp3530988,stable
00.02,0070,0010,EU LI1 - Differences between the accounting scope and the scope of prudential consolidation and mapping of financial statement categories with regulatory risk categories,Accompanying narrative,dp3530989,dp3530989,stable
00.02,0080,0010,EU LI3 - Outline of the differences in the scopes of consolidation (entity by entity),Accompanying narrative,dp3530990,dp3530990,stable
00.02,0090,0010,EU LI2 - Main sources of differences between regulatory exposure amounts and carrying values in financial statements,Accompanying narrative,dp3530991,dp3530991,stable
00.02,0100,0010,EU PV1: Prudent valuation adjustments (PVA),Accompanying narrative,dp3530992,dp3530992,stable
00.02,0110,0010,EU CCyB1 - Geographical distribution of credit exposures relevant for the calculation of the countercyclical buffer,Accompanying narrative,dp3530993,dp3530993,stable
00.02,0120,0010,EU CCyB2 - Amount of institution-specific countercyclical capital buffer,Accompanying narrative,dp3530994,dp3530994,stable
00.02,0130,0010,EU LR1 - LRSum: Summary reconciliation of accounting assets and leverage ratio exposures,Accompanying narrative,dp3530995,dp3530995,stable
00.02,0140,0010,EU LR2 - LRCom: Leverage ratio common disclosure,Accompanying narrative,dp3530996,dp3530996,stable
00.02,0150,0010,"EU LR3 - LRSpl: Split-up of on balance sheet exposures (excluding derivatives, SFTs and exempted exposures)",Accompanying narrative,dp3531005,dp3531005,stable
00.02,0160,0010,EU LIQ1 - Quantitative information of LCR,Accompanying narrative,dp3531006,dp3531006,stable
00.02,0170,0010,EU LIQ2: Net Stable Funding Ratio,Accompanying narrative,dp3531007,dp3531007,stable
00.02,0180,0010,EU CR3 –  CRM techniques overview:  Disclosure of the use of credit risk mitigation techniques,Accompanying narrative,dp3531008,dp3531008,stable
00.02,0190,0010,EU CR4 – standardised approach – Credit risk exposure and CRM effects,Accompanying narrative,dp3531009,dp3531009,stable
00.02,0200,0010,EU CR5 – standardised approach,Accompanying narrative,dp3531010,dp3531010,stable
00.02,0210,0010,EU CR6-A – Scope of the use of IRB and SA approaches,Accompanying narrative,dp3531011,dp3531011,stable
00.02,0220,0010,EU CR6 – IRB approach – Credit risk exposures by exposure class and PD range,Accompanying narrative,dp3531012,dp3531012,stable
